from,to,amount
999,916,68
695,939,507
353,903,681
220,396,296
927,488,702
206,182,475
791,637,752
333,374,294
384,657,553
752,192,622
998,280,691
870,977,744
625,743,781
918,532,437
888,372,772
712,453,277
438,938,485
511,279,99
909,227,169
85,691,958
674,554,598
240,689,20
626,222,601
834,753,189
157,657,724
146,609,813
155,286,874
160,307,92
157,442,358
343,674,392
140,521,396
261,336,652
242,424,777
550,278,190
999,825,416
199,68,958
899,852,729
663,539,987
589,358,273
270,694,406
9,149,457
961,255,895
65,719,851
792,400,734
589,949,660
75,205,915
859,283,97
763,815,533
517,950,949
17,503,855
563,224,610
503,869,605
702,594,235
227,699,905
167,545,978
688,548,908
256,354,598
364,809,652
83,632,310
618,327,551
294,358,612
441,566,672
719,875,37
494,21,94
798,454,934
928,713,336
487,674,932
130,597,451
657,760,336
549,758,918
480,970,747
50,570,107
681,358,119
400,741,535
15,212,443
251,608,815
688,673,616
691,949,423
915,375,176
778,931,92
60,976,177
719,240,184
399,236,851
174,234,311
885,231,936
793,918,800
893,469,989
446,24,178
466,118,965
491,76,660
447,201,808
598,47,643
759,667,773
366,163,298
65,988,168
858,517,853
477,534,641
304,347,445
285,918,351
47,976,620
316,879,253
877,554,237
409,370,539
672,547,92
625,446,12
314,779,425
145,246,1000
976,71,199
915,605,43
334,682,85
498,848,629
307,682,396
891,346,126
882,226,9
206,87,585
738,826,681
731,822,490
346,108,407
290,205,845
896,326,876
689,234,647
243,173,370
888,605,71
229,23,439
959,858,364
972,852,221
995,658,952
33,711,691
346,83,171
338,641,334
611,853,193
798,532,742
857,829,924
499,317,151
271,54,131
516,986,561
742,166,512
516,754,487
110,131,191
859,852,992
73,206,874
440,88,241
46,960,604
209,313,662
478,806,327
16,297,22
454,543,510
259,169,699
517,624,270
367,246,425
149,168,151
452,965,103
485,149,631
945,219,329
977,557,644
305,968,869
867,565,792
129,455,81
785,578,539
148,367,759
772,201,555
895,327,882
624,596,205
368,911,613
410,112,299
907,791,928
49,428,607
658,836,412
508,805,537
720,716,411
181,210,66
172,185,65
250,410,865
550,279,992
314,598,819
388,960,824
133,132,699
597,940,135
883,215,818
719,963,165
909,147,161
126,668,354
677,473,979
648,918,523
955,882,253
398,39,778
397,889,957
839,703,749
122,491,196
198,861,295
775,842,436
822,301,704
724,907,161
903,158,665
995,218,89
383,754,566
64,962,269
106,912,238
987,370,23
112,383,598
109,494,596
616,160,465
142,199,907
440,691,629
47,550,618
483,254,379
295,317,48
771,196,949
5,928,728
509,67,55
917,791,231
465,424,926
338,381,607
978,902,193
924,185,803
931,703,835
672,568,383
180,728,897
911,344,325
356,407,973
521,820,564
203,241,700
16,103,340
586,732,199
287,585,748
930,654,643
895,269,365
865,780,813
126,907,621
571,176,267
150,888,242
963,887,544
294,81,66
104,115,39
947,442,522
976,74,608
577,899,545
447,705,554
64,685,178
579,501,77
331,217,956
113,726,2
542,435,405
891,835,187
576,29,382
912,473,398
336,689,289
938,538,415
974,595,781
61,608,580
952,562,624
797,358,642
459,274,483
824,91,984
993,157,646
85,532,764
233,959,155
685,920,246
472,281,660
97,404,597
188,648,730
70,253,100
681,181,84
832,926,425
526,363,45
18,906,490
565,629,485
840,208,239
443,45,580
852,873,414
994,427,398
372,548,6
754,998,415
531,86,989
250,781,88
936,860,298
751,814,932
956,856,888
386,577,889
238,674,971
580,312,973
794,555,390
257,578,179
447,709,772
125,102,749
590,839,967
645,230,16
502,232,530
708,405,139
1,547,32
309,244,676
59,679,982
272,424,712
991,906,774
616,575,992
706,486,536
452,348,780
173,309,754
634,325,736
399,427,234
101,61,391
714,817,598
625,618,503
936,380,86
777,18,671
133,523,470
99,205,129
767,381,187
226,592,815
286,977,837
238,580,63
305,716,617
657,404,442
131,370,31
917,737,252
221,748,691
686,361,954
309,385,406
200,30,37
634,572,985
639,516,887
980,733,970
443,535,514
657,394,400
29,985,552
254,536,744
865,394,289
923,668,803
652,633,171
311,209,320
78,773,198
417,818,553
464,986,856
499,276,113
90,457,536
606,530,569
89,646,73
171,346,28
556,520,629
316,522,70
165,87,344
483,601,489
391,833,234
707,847,606
441,250,975
483,411,875
720,475,742
422,561,802
966,233,729
394,413,723
441,127,270
58,305,426
772,176,246
200,512,346
457,151,38
991,641,571
898,495,988
257,852,613
956,435,736
788,834,645
848,334,233
109,792,119
266,217,683
3,481,572
671,641,242
129,220,260
59,2,645
365,759,305
189,388,257
666,280,470
376,748,58
693,301,74
152,353,339
671,215,719
493,717,279
577,847,2
863,159,870
227,496,482
370,195,235
643,34,855
800,652,168
207,868,692
481,111,643
442,973,895
963,465,308
26,272,596
208,184,108
873,169,876
824,565,249
803,799,983
243,888,892
611,380,778
954,151,471
800,645,976
521,907,187
503,339,725
531,260,943
551,73,244
706,447,243
929,304,350
480,595,652
757,494,870
713,777,584
523,349,674
497,75,308
317,249,615
91,552,915
491,160,886
124,475,183
547,475,976
547,347,70
748,625,451
136,141,620
770,698,714
164,330,151
528,357,864
268,508,985
373,366,947
190,142,433
58,341,276
739,698,60
80,380,440
741,611,917
165,19,307
860,88,122
334,146,895
445,237,765
569,497,911
524,98,266
73,406,681
709,654,173
16,235,879
449,914,121
142,466,924
947,329,987
705,446,723
43,174,824
404,134,3
65,716,484
190,161,417
299,328,912
342,318,359
968,129,649
730,896,878
409,756,798
979,110,703
48,0,426
490,483,910
953,509,678
766,292,999
63,112,373
463,422,240
292,279,913
45,440,462
664,179,544
244,48,468
84,197,432
703,296,445
816,441,274
779,136,308
72,587,234
234,320,465
463,435,950
289,934,692
190,352,346
671,332,744
370,591,574
897,897,502
618,645,115
657,630,424
947,171,967
603,739,540
502,572,965
97,116,223
445,315,81
270,725,526
824,438,262
868,700,456
566,621,895
717,619,489
368,221,196
259,906,825
16,114,874
992,107,378
534,994,510
535,909,387
194,374,20
187,510,714
103,889,713
883,682,148
70,36,775
499,802,115
120,757,381
279,350,52
810,413,141
523,24,863
759,594,654
361,619,945
311,352,126
664,282,205
85,365,719
597,276,867
411,199,59
994,426,422
731,216,587
861,687,620
399,383,525
148,255,824
949,126,934
123,413,595
772,608,359
411,228,101
935,335,857
34,895,655
299,953,420
438,366,231
399,339,867
2,822,70
213,177,764
252,653,300
880,569,875
34,65,713
192,40,730
555,667,654
315,435,290
810,478,27
971,142,357
58,863,366
383,149,591
332,534,325
740,725,836
912,236,703
766,513,624
206,281,842
318,708,397
397,151,964
548,680,930
805,121,343
10,679,164
383,347,533
239,849,37
806,805,172
716,413,327
405,174,195
106,778,699
717,44,717
669,953,460
755,657,346
900,405,692
665,590,790
983,218,894
601,34,661
137,215,842
482,848,518
730,969,825
800,113,897
810,384,615
887,920,682
988,363,740
273,9,417
820,461,465
257,280,237
619,98,594
456,99,757
11,26,155
311,210,157
787,853,662
506,992,250
624,288,473
885,497,391
971,726,317
575,917,732
14,645,330
354,416,144
131,464,357
630,634,255
831,333,168
131,208,820
860,632,967
146,322,644
328,403,224
265,356,510
801,406,462
852,630,148
211,245,720
761,683,989
128,872,728
924,892,308
133,825,954
426,213,938
713,966,170
208,475,492
921,623,645
594,41,241
11,136,203
63,327,236
368,797,684
260,664,978
717,970,770
338,775,997
617,482,983
571,858,236
200,714,908
147,804,580
880,83,637
892,184,397
826,727,825
291,811,939
947,883,924
413,385,372
337,939,134
592,887,746
429,770,580
185,345,506
813,776,801
117,637,205
469,795,367
430,329,701
493,855,541
610,738,228
15,242,189
743,934,291
621,98,998
869,870,632
825,429,763
299,727,279
473,92,330
268,547,252
622,62,156
942,382,105
223,374,603
85,385,132
406,426,249
646,336,5
950,322,486
881,335,220
488,674,863
32,978,283
599,434,733
162,427,350
322,25,268
482,713,5
925,284,203
295,7,622
858,122,516
12,549,477
3,776,797
12,785,818
693,653,60
184,427,585
826,381,840
633,680,331
129,689,822
780,83,29
820,295,544
454,507,801
562,868,483
954,46,898
638,837,701
244,672,898
623,178,243
951,774,286
698,407,768
667,727,927
574,358,973
81,122,807
456,90,319
801,308,858
266,165,89
389,986,165
979,226,785
24,475,648
373,526,776
57,379,543
663,867,96
666,426,831
817,6,66
875,61,578
464,346,187
395,80,715
973,131,895
72,903,656
636,124,236
334,898,666
158,42,595
58,369,410
43,193,698
560,396,324
548,986,860
528,990,907
331,774,498
291,151,41
780,923,955
538,940,150
313,147,255
866,916,685
837,983,382
822,700,468
425,753,697
760,575,285
474,716,69
347,82,788
518,816,598
89,660,167
125,111,119
743,533,372
332,979,703
439,763,454
842,617,293
848,346,855
749,332,601
828,622,413
773,385,137
467,939,431
361,454,194
464,500,869
356,66,744
562,430,691
44,383,43
338,420,478
932,66,243
948,848,697
161,159,793
793,236,207
908,607,853
3,940,357
264,566,525
648,514,278
155,194,743
932,914,511
627,13,1
570,164,147
246,100,396
312,197,183
976,271,178
591,933,644
365,638,38
348,625,973
687,922,687
767,947,451
666,318,963
349,469,912
36,897,956
605,804,549
140,573,378
576,373,611
590,398,625
536,950,307
532,140,328
357,198,463
318,137,885
333,306,749
415,757,257
472,765,253
666,497,347
124,906,898
306,756,887
6,473,780
487,774,490
547,353,370
756,914,283
813,875,336
451,78,286
122,207,565
384,422,142
362,52,300
869,468,130
562,417,604
65,545,815
345,883,146
103,974,296
101,370,58
381,943,743
182,36,362
22,899,463
704,312,352
893,508,180
472,531,733
339,583,515
818,22,125
578,950,485
821,227,554
387,391,830
651,312,365
834,378,602
222,718,241
60,648,64
55,862,510
235,787,442
268,870,954
694,449,654
103,813,688
92,414,666
457,709,346
486,273,477
516,932,766
86,641,819
844,347,616
247,220,104
119,818,443
450,966,751
476,393,61
23,224,279
349,629,201
523,724,696
736,541,169
777,356,647
12,512,358
827,178,777
898,904,114
732,251,460
568,178,391
507,578,88
324,158,772
964,291,504
518,402,797
67,789,942
366,703,299
101,10,971
867,594,596
234,108,136
949,842,350
257,220,682
938,290,311
516,382,952
45,368,336
697,60,714
682,862,55
12,246,944
295,797,495
805,464,222
344,229,856
959,674,661
386,152,804
384,869,132
683,645,344
320,77,513
685,23,751
992,759,410
351,237,288
44,106,773
334,15,559
908,614,124
499,99,632
734,351,16
616,182,234
500,860,32
184,986,843
655,939,264
588,72,333
981,485,555
857,480,618
144,394,65
93,817,84
476,860,240
200,305,554
444,43,872
880,474,386
699,39,888
957,488,28
24,131,47
759,422,303
515,512,65
623,858,264
773,908,459
507,368,285
561,489,647
454,831,633
224,69,752
857,602,297
371,411,467
549,283,355
962,238,991
684,499,696
555,232,535
933,401,785
139,447,7
765,365,142
985,825,995
945,579,157
36,659,914
320,500,522
782,697,150
362,17,345
22,205,396
567,815,410
395,267,807
458,616,373
597,252,358
192,212,58
755,855,19
986,428,667
946,279,368
64,660,297
806,716,573
369,741,346
116,671,376
806,446,980
136,104,307
142,324,240
443,83,663
125,314,861
503,414,326
500,800,440
142,804,666
752,615,68
419,12,546
250,698,920
80,663,17
667,148,856
825,953,867
582,592,762
826,556,495
63,100,318
579,203,285
813,869,622
621,624,482
762,728,755
602,697,176
421,526,208
17,302,547
667,48,690
839,942,361
100,6,121
33,344,556
260,816,835
659,536,49
482,759,321
844,76,866
926,209,402
578,554,873
629,450,928
548,239,909
641,841,825
414,181,95
592,752,991
920,199,432
92,887,629
530,308,188
509,147,238
27,824,229
651,309,996
406,486,257
69,766,403
331,441,793
96,125,221
451,813,157
571,149,333
773,209,168
859,741,719
392,931,479
304,318,251
803,801,883
65,474,50
728,230,413
790,705,396
173,708,194
585,691,385
666,528,561
455,922,311
982,487,160
750,996,409
56,378,970
579,574,654
53,607,566
489,360,865
450,459,359
474,218,259
940,666,310
941,284,288
12,348,345
772,833,853
817,308,491
327,38,355
178,823,540
382,130,837
190,483,854
50,643,264
277,698,282
344,525,962
487,818,799
892,510,430
446,945,258
958,655,14
253,200,542
629,83,911
670,469,345
882,446,696
54,827,469
525,463,316
143,445,643
743,694,796
769,832,374
618,434,847
372,827,926
837,702,609
559,847,648
494,396,632
164,606,584
630,700,576
149,21,597
387,806,703
617,525,793
815,183,385
779,992,676
120,181,481
868,500,577
218,163,57
337,261,390
253,614,289
288,630,474
499,581,92
32,50,155
573,435,776
797,871,635
269,690,416
715,664,263
598,206,399
49,649,149
414,818,584
229,230,698
377,160,825
108,363,567
157,929,162
898,626,551
696,692,281
947,353,186
881,139,529
265,197,628
178,754,516
686,778,658
718,263,836
923,531,846
199,259,815
190,315,520
310,112,245
243,680,177
994,974,577
626,669,761
417,75,292
67,838,659
401,896,747
173,968,881
976,824,953
1,195,758
826,412,770
994,394,685
343,646,642
726,551,837
227,603,370
477,563,421
219,479,908
83,911,697
426,167,336
587,188,360
983,918,616
826,213,476
202,559,836
949,903,199
954,590,197
667,386,589
848,446,198
542,940,878
957,212,325
761,237,821
740,388,366
530,799,745
111,535,219
87,366,609
556,13,145
767,358,775
239,676,253
918,939,809
105,168,535
466,961,651
655,652,338
871,112,93
910,325,114
990,732,859
624,807,273
455,312,880
67,925,123
158,298,821
461,644,187
841,656,460
302,310,957
551,653,287
172,458,994
79,465,590
451,93,656
427,840,266
461,164,993
328,46,641
173,547,929
113,784,557
287,458,500
522,328,788
721,880,679
737,393,974
871,207,544
963,493,688
457,305,66
144,45,532
909,126,811
153,571,327
725,652,390
726,624,839
718,590,440
712,760,962
614,881,377
9,745,142
169,82,894
276,20,17
250,414,487
301,86,562
329,224,237
251,609,310
725,434,108
496,184,83
190,256,659
521,548,101
585,911,264
306,873,208
431,886,209
551,76,214
844,666,434
604,901,48
915,256,719
331,362,603
981,654,148
887,478,448
278,558,691
961,544,190
338,148,72
238,698,804
810,709,700
830,907,977
323,565,427
133,648,56
573,29,169
984,114,559
299,827,13
397,597,553
607,602,95
965,787,945
739,89,735
935,131,257
714,106,297
599,59,854
235,209,713
920,178,320
105,201,529
217,544,344
669,861,296
788,98,514
49,117,168
633,959,71
619,692,984
920,476,175
533,582,18
56,428,349
410,71,496
264,218,416
934,872,213
577,505,268
885,17,885
817,391,944
474,521,924
264,270,956
345,274,344
212,497,250
761,659,604
932,252,130
232,220,345
91,569,41
744,999,240
814,969,398
742,610,910
648,772,555
443,558,563
959,324,319
116,696,593
670,867,86
229,686,636
137,71,398
109,552,137
477,540,688
727,899,581
327,786,869
388,341,336
106,618,741
489,741,423
200,469,317
418,158,533
757,500,416
229,843,343
237,897,978
672,94,879
666,997,845
879,581,499
766,913,305
150,688,983
223,348,332
796,401,434
804,177,244
150,133,90
536,834,784
923,184,294
127,346,122
758,769,747
781,689,106
488,630,204
372,999,964
431,73,275
520,223,784
822,542,961
293,654,675
163,771,882
121,562,603
584,113,100
857,158,80
475,812,592
930,229,916
630,261,731
479,807,970
325,777,550
297,476,657
250,818,776
63,464,193
262,773,168
938,133,593
541,601,430
245,548,290
975,115,298
58,723,866
451,214,649
325,316,471
398,144,628
189,362,365
946,868,333
126,743,203
924,587,758
792,497,371
338,128,185
897,22,861
905,151,574
249,575,259
814,232,336
563,360,317
713,538,356
521,611,564
716,727,623
21,910,433
755,140,153
140,884,93
696,143,52
935,642,510
531,865,267
397,229,633
914,187,696
772,426,797
776,453,352
881,989,809
301,763,643
746,318,940
706,195,706
328,102,969
685,613,416
534,171,216
319,715,558
272,438,481
939,64,117
143,943,328
987,613,901
164,693,245
488,396,891
837,520,172
781,898,726
701,691,772
263,860,633
969,508,366
191,179,32
367,193,461
607,565,525
658,179,210
772,631,897
603,425,698
885,147,329
55,408,631
115,811,393
20,709,501
785,824,277
283,362,440
983,45,142
920,501,415
521,646,456
805,170,922
556,792,288
89,537,251
635,316,172
41,234,750
970,154,103
229,190,590
654,563,782
433,735,13
2,238,569
172,198,148
138,585,223
455,67,763
137,402,856
828,109,441
13,736,325
717,784,388
782,242,669
297,91,540
346,494,185
632,511,336
168,460,665
397,544,275
849,105,569
162,672,674
42,482,81
740,979,451
715,644,555
37,930,526
518,136,662
130,215,200
617,503,846
220,509,678
306,231,100
311,954,770
314,571,531
56,96,529
876,494,415
360,569,246
928,213,361
699,585,284
147,283,343
64,881,360
474,932,138
205,314,375
331,46,87
549,491,170
4,978,787
219,666,972
63,785,293
473,427,215
80,844,779
240,696,19
250,76,914
497,320,110
4,804,4
768,866,413
18,344,114
31,994,607
83,104,25
474,52,730
632,229,937
786,813,687
930,114,549
773,685,271
471,280,176
704,115,143
244,964,221
772,888,543
855,537,867
355,123,454
760,565,601
706,974,1000
0,586,320
843,906,55
718,429,826
893,234,359
648,774,139
291,122,919
552,614,313
432,492,85
760,651,842
729,304,998
10,980,680
163,239,404
962,144,500
788,91,17
496,356,194
390,376,195
738,718,879
121,331,931
602,315,901
408,848,550
31,568,319
126,735,798
753,187,98
477,931,254
693,533,365
487,63,268
891,855,51
870,509,626
640,411,79
386,106,861
235,977,466
155,914,352
431,948,703
353,775,451
174,384,729
535,549,247
39,750,711
657,872,269
148,679,432
908,490,162
922,794,918
801,840,193
278,170,626
120,50,798
255,404,58
143,200,62
133,740,788
251,127,863
571,451,25
300,465,404
574,162,47
272,266,536
989,114,854
93,106,710
48,23,828
819,418,922
839,73,341
275,954,127
17,389,65
203,787,193
834,179,970
884,648,290
56,235,26
786,387,309
832,814,550
968,986,224
864,381,750
260,119,158
248,685,469
25,794,61
743,798,350
662,920,637
2,314,632
382,827,157
783,21,478
859,367,31
837,346,850
176,189,286
918,484,945
763,12,934
693,672,764
620,746,209
711,484,88
99,323,140
837,156,544
752,8,474
983,148,872
472,343,784
505,647,730
661,926,711
714,957,611
374,879,902
307,761,129
495,220,169
146,780,342
238,331,463
504,556,466
800,317,922
197,125,646
720,341,358
334,420,46
199,811,60
182,99,201
241,643,728
501,216,758
631,504,446
731,147,171
36,905,33
719,811,968
205,191,327
765,414,811
561,707,703
370,647,337
322,149,71
99,231,582
104,114,37
723,29,398
190,874,867
944,733,190
99,290,6
683,548,171
65,79,664
666,175,616
847,295,841
352,631,868
909,62,400
890,518,489
787,14,431
161,675,837
774,777,879
955,852,566
643,527,170
650,954,920
978,629,812
15,222,111
749,56,234
534,363,477
439,535,156
63,788,83
310,675,673
321,658,667
955,231,611
453,42,951
840,173,135
448,197,611
362,802,728
204,16,732
827,638,770
718,514,199
533,595,604
518,499,322
59,80,315
804,621,932
447,847,213
230,17,761
957,814,437
211,658,20
505,873,718
285,206,615
563,969,6
108,184,432
953,65,388
564,778,285
360,797,647
888,863,993
817,303,317
396,440,560
838,891,600
214,466,647
179,334,737
94,59,575
535,883,512
654,900,185
914,974,71
494,202,769
924,821,258
745,86,832
435,507,447
1,681,651
113,168,954
695,384,590
550,36,204
846,549,182
785,346,11
266,809,709
505,370,150
992,225,267
413,947,883
556,470,822
97,474,468
185,804,420
532,712,229
855,363,399
423,756,833
190,51,406
856,305,265
486,675,274
342,647,618
833,568,791
470,262,838
480,866,659
149,250,56
936,217,274
765,682,679
87,88,309
329,418,34
375,624,278
987,784,267
300,966,897
286,967,802
240,947,858
517,603,167
145,434,711
196,400,375
96,735,551
247,88,91
700,471,775
86,357,38
774,722,324
203,646,168
229,631,572
944,926,286
431,660,27
926,174,713
559,959,381
772,719,734
752,659,844
217,40,853
489,15,575
662,151,974
361,196,523
514,851,484
598,45,45
392,365,280
485,399,92
490,529,160
561,423,230
347,562,597
115,277,470
712,625,485
584,501,831
758,329,762
64,193,106
857,388,519
140,850,570
103,441,479
791,960,520
819,220,580
339,755,784
822,697,958
798,334,889
751,761,242
941,962,812
187,28,193
772,584,147
865,533,393
503,839,843
641,914,809
515,74,910
736,690,686
80,341,117
743,119,391
997,990,992
57,229,186
587,643,512
412,669,995
681,442,249
949,330,328
421,376,230
525,146,626
772,736,308
471,996,896
177,992,139
491,197,399
367,155,605
473,438,701
583,978,812
484,184,812
48,319,518
680,997,493
697,849,812
774,723,393
393,8,545
834,485,665
796,867,896
630,725,666
50,736,113
777,898,965
188,254,561
636,553,74
98,19,139
895,383,905
223,736,140
904,492,694
652,9,320
108,197,218
710,975,864
483,450,230
994,12,17
352,233,993
123,861,115
424,153,119
190,229,590
473,952,293
671,548,827
26,827,456
863,206,345
603,29,181
472,49,921
492,297,953
790,400,387
481,846,437
72,65,425
178,5,75
757,5,915
212,31,955
927,58,856
798,38,63
361,351,568
536,690,349
310,505,877
239,753,40
951,831,406
625,200,514
699,55,54
775,587,138
506,840,216
553,425,661
900,273,782
191,355,760
676,613,177
536,437,590
709,839,415
907,356,402
212,319,251
220,446,68
380,271,271
370,409,258
238,88,26
70,654,723
880,187,938
551,37,713
82,990,328
339,837,729
721,672,554
499,589,721
794,622,636
85,620,633
408,651,141
21,634,533
106,283,13
731,149,25
46,123,206
505,550,1000
449,410,313
420,346,631
463,304,183
502,980,667
340,156,930
575,959,940
919,969,263
737,684,786
14,25,33
840,980,377
796,657,767
730,55,674
70,460,14
542,798,626
307,596,593
810,499,611
600,561,121
614,781,847
896,74,347
292,727,523
268,165,574
145,70,553
673,4,112
912,989,553
469,370,678
195,68,113
726,820,864
204,192,113
908,199,202
48,378,610
627,847,771
712,764,697
691,332,791
277,689,406
560,589,865
988,72,352
484,540,469
377,882,130
595,817,241
776,893,49
719,876,497
492,130,179
110,518,367
104,912,580
416,132,682
533,842,938
110,292,203
727,221,233
733,491,584
617,80,874
887,431,579
238,458,194
477,633,794
879,840,515
754,462,930
25,91,611
823,721,718
444,180,568
566,374,868
873,202,498
543,290,57
819,65,82
309,407,104
743,775,162
660,242,499
560,111,861
406,434,82
48,383,935
470,806,130
919,211,333
408,572,455
863,79,563
652,915,468
601,227,900
37,882,928
473,831,68
89,661,12
187,202,373
0,447,196
296,835,3
994,658,244
175,115,739
795,390,190
835,368,920
127,256,1
365,63,125
414,326,281
838,350,595
715,223,886
424,620,703
26,509,162
630,486,269
402,763,894
522,566,574
740,777,86
943,444,848
511,156,968
543,832,524
991,757,529
401,936,83
570,764,928
680,460,459
157,583,298
680,460,362
489,454,535
555,275,74
14,110,494
528,829,727
976,476,526
200,633,688
46,265,412
980,234,758
762,482,391
256,177,180
257,648,536
903,61,922
532,422,106
251,905,78
848,307,744
18,698,685
239,553,795
994,816,60
699,603,839
65,811,421
655,352,957
37,196,375
269,141,270
988,609,38
73,455,481
975,37,41
925,816,480
798,674,708
994,614,908
699,544,954
203,778,454
36,94,860
872,815,314
864,254,759
329,360,63
447,404,640
112,34,965
258,496,825
683,650,382
245,379,536
855,439,637
804,978,736
122,366,385
499,834,591
204,465,418
151,3,294
795,562,945
472,259,519
144,909,74
865,677,227
419,617,380
106,923,107
916,209,852
605,782,608
829,286,206
975,503,190
851,204,717
224,881,415
957,410,883
554,245,380
917,399,785
567,932,493
242,821,534
791,658,833
459,818,537
233,510,910
868,849,480
215,549,183
494,228,91
790,490,575
887,306,763
625,435,60
762,244,396
152,469,687
302,208,684
383,351,134
937,70,553
686,339,180
909,676,185
939,347,55
745,232,728
555,930,327
624,864,891
232,59,957
167,30,682
615,364,577
82,138,72
162,707,799
338,542,38
583,337,764
586,994,621
132,876,807
222,172,457
670,662,326
648,950,229
732,419,204
38,942,474
79,589,660
126,939,162
170,426,532
366,202,145
364,584,156
202,91,199
578,875,547
931,937,740
401,576,852
771,565,256
270,79,108
726,889,377
993,33,544
745,344,921
749,899,872
618,102,675
180,393,85
634,275,751
335,800,791
910,920,860
916,32,561
574,405,84
736,58,110
57,943,994
500,205,144
822,94,223
980,575,8
396,966,845
438,808,266
514,70,542
130,115,796
961,283,306
932,876,727
307,625,350
32,620,145
56,513,998
623,449,708
912,138,206
20,898,682
215,534,369
921,830,265
643,815,583
351,975,774
336,752,484
953,398,514
589,910,113
975,46,793
267,76,523
437,796,706
794,120,792
958,266,704
60,553,869
973,552,440
503,514,586
292,954,930
568,569,979
273,679,415
612,727,715
574,766,874
222,287,188
824,246,48
765,408,294
75,753,723
497,801,360
922,755,638
681,898,196
132,170,570
710,413,777
147,752,112
538,334,382
541,75,614
432,707,796
763,785,189
110,520,438
584,201,595
128,616,172
706,575,92
760,153,94
340,884,925
637,498,82
264,451,277
527,6,111
837,428,326
237,143,33
15,919,747
61,613,539
62,758,609
384,724,687
279,677,935
33,79,830
60,833,41
862,824,742
33,817,692
702,174,205
203,529,380
870,600,223
111,80,28
141,159,551
695,284,39
291,349,708
733,666,296
9,568,618
867,35,656
824,967,571
242,754,536
642,663,526
206,905,161
423,156,500
54,116,812
963,431,161
196,360,678
928,650,272
814,981,850
660,539,743
652,459,175
698,951,34
420,683,443
521,867,218
782,620,473
225,724,222
780,244,636
942,974,250
632,834,948
486,175,512
572,535,452
456,323,885
612,301,862
913,143,942
973,432,507
529,426,197
4,12,459
37,241,570
77,26,703
987,884,740
621,997,729
755,598,209
911,103,637
401,996,469
130,938,321
746,864,580
501,546,1000
81,533,272
419,718,86
792,468,641
727,910,66
652,329,18
828,319,531
118,359,457
222,842,566
802,479,153
955,645,516
355,388,852
902,452,324
853,650,929
437,11,800
756,892,743
984,939,853
771,423,99
543,33,424
678,988,217
58,450,564
264,187,707
96,699,91
919,482,840
209,42,257
122,781,317
451,503,627
565,211,364
868,936,277
595,657,101
551,770,132
814,307,546
517,418,513
607,366,642
727,442,984
973,730,608
491,662,519
354,559,484
707,103,710
903,991,926
247,138,561
61,277,433
966,649,667
447,558,654
93,2,566
643,831,638
965,78,770
990,832,664
18,159,684
683,43,572
405,493,380
778,813,138
339,690,749
590,45,442
287,571,122
186,322,42
279,152,42
373,544,584
811,966,507
393,393,664
746,796,347
469,797,867
988,967,333
793,834,565
413,547,974
57,252,587
617,71,567
602,797,57
10,190,678
347,718,539
155,654,305
810,671,176
184,737,717
835,807,798
535,87,251
664,813,733
321,887,104
105,135,785
634,480,667
693,747,701
964,502,227
211,126,430
770,444,763
461,972,440
520,391,88
455,77,289
172,748,888
479,617,986
660,250,303
181,6,873
200,707,554
20,96,963
964,985,186
103,591,857
459,551,143
800,438,163
832,520,757
820,767,40
808,582,972
855,82,123
854,561,866
23,414,9
265,765,713
877,623,687
313,582,710
472,951,373
165,418,952
27,54,107
818,821,704
132,705,357
55,427,43
38,378,442
563,692,948
861,149,264
769,739,732
497,342,412
940,524,849
566,128,35
20,314,329
197,139,488
617,318,926
466,745,124
413,685,415
969,442,329
507,752,749
479,801,288
944,536,203
815,22,576
693,730,279
658,746,190
15,96,835
543,819,465
885,113,268
134,465,612
203,902,405
726,700,408
951,467,368
110,335,900
554,120,706
631,272,401
573,288,758
164,939,498
289,318,110
425,756,96
731,768,528
43,126,500
838,365,81
686,590,724
482,662,70
713,39,363
878,549,592
347,234,482
803,242,549
631,44,843
407,966,65
172,46,399
234,190,106
692,311,660
34,414,379
828,799,418
43,153,928
797,861,167
932,919,988
908,605,39
688,435,897
368,541,164
424,660,378
449,266,224
721,793,980
859,317,73
131,630,252
9,871,414
381,928,379
89,167,705
935,335,649
100,424,313
519,195,242
819,439,784
777,70,789
124,706,363
854,786,464
14,252,424
102,786,942
789,77,38
444,390,999
515,484,933
875,789,934
258,131,725
238,660,694
853,674,719
293,412,532
373,564,67
405,315,91
703,912,742
306,462,442
502,138,80
409,925,132
447,998,731
235,918,694
325,750,638
494,429,784
4,325,254
413,665,207
565,767,271
209,916,119
19,489,845
709,189,481
453,724,149
874,415,919
901,709,262
151,438,510
544,871,935
869,847,965
643,688,19
957,756,727
468,670,180
971,999,5
420,205,739
202,20,928
596,307,283
279,443,826
727,378,389
288,654,254
616,112,317
953,40,319
558,369,551
50,456,475
263,430,673
311,217,489
862,892,666
180,347,294
971,262,791
914,591,419
553,322,588
723,263,654
779,114,706
520,580,75
298,841,473
59,501,9
905,385,394
132,351,41
51,184,890
620,473,470
539,717,411
841,530,92
387,602,501
841,873,193
773,334,607
280,60,475
941,816,234
282,950,424
668,913,233
212,76,759
538,33,525
601,550,881
912,380,262
447,115,849
834,561,103
90,995,376
33,766,150
199,825,295
781,942,796
485,963,586
612,690,514
849,798,314
298,305,450
999,281,113
